GOESDEC,ACTIVE, RTCNAME, S_OFV, S_ONV, S_NV, S_TTMODE, S_RTFV, S_OTC, S_TBV, S_DTFMT, S_DTSIZE, S_BID, S_BIDCNT, R_OFV, R_ONV, R_NV, R_TTMODE, R_RTFV, R_OTC, R_TBV, R_DTFMT, R_DTSIZE, R_BID, R_BIDCNT, EDITDATE, OWNER,                                                                                                                                                                                       
BCBCNE  PC,1,,28,3,4,R,-6,0,-15,B,3,,0,5,6,0,I,0,-4,-15,B,3,,0,13-JUN-2006 10:12:45.70,LDEAVILA,                                                                                                                                                                                                                                                                                                                
BCCM    GH,1,,4,3,12,R,-3,0,-15,B,3,,0,2,6,3,I,0,-1,-15,B,3,D,1,29-APR-2013 14:31:39.00,NPHELPS,                                                                                                                                                                                                                                                                                                                
BCHM    GH,1,,4,3,8,R,-13,0,-15,B,3,,0,2,6,3,I,0,-1,-15,B,3,D,1,11-APR-2011 14:52:36.87,NPHELPS,                                                                                                                                                                                                                                                                                                                
BCIB    BV,1,,177,0,0,R,-2,0,-15,F,7,,0,5,6,3,I,0,-4,-15,T,3,D,1,06-MAY-2009 10:44:16.54,RMICHEL,                                                                                                                                                                                                                                                                                                               
BCIB    GH_M,1,,9,8,12,R,-4,0,-5,V,5,:HG,3,0,0,3,I,0,0,0,B,3,G,1,01-AUG-2013 09:24:59.86,RMICHEL,                                                                                                                                                                                                                                                                                                               
BCLM    GH,1,,4,3,8,R,-3,0,-15,B,3,,0,2,6,3,I,0,-1,-15,B,3,D,1,12-DEC-2014 08:49:36.30,NPHELPS,                                                                                                                                                                                                                                                                                                                 
BCWY    BV,0,,10,9,0,R,-3,0,-15,B,3,,0,0,0,0,I,0,0,0,,0,,0,24-SEP-2015 14:07:52.17,LDEAVILA,                                                                                                                                                                                                                                                                                                                    
BCWY    CH,1,,4,3,12,R,-3,0,-15,B,3,,0,0,0,0,I,0,0,0,,0,,0,11-APR-2016 15:22:10.21,DKNUTESON,                                                                                                                                                                                                                                                                                                                   
BDCM    GH,1,,4,3,12,R,-6,0,-15,B,3,,0,4,3,12,I,0,-1,-15,T,3,E,0,05-AUG-2008 15:42:08.02,NPHELPS,                                                                                                                                                                                                                                                                                                               
BDNE    GH,1,,4,3,2,R,-7,0,-15,B,3,,0,0,0,0,I,0,0,0,,0,,0,22-OCT-2015 13:43:35.58,LDEAVILA,                                                                                                                                                                                                                                                                                                                     
BEVR    FB,1,,3,9,16,R,-10,0,-15,B,3,,0,2,9,3,I,0,-1,-15,B,3,D,0,13-AUG-1996 14:50:43.01,NPHELPS,                                                                                                                                                                                                                                                                                                               
BFAM    BV,1,,67,0,1,R,-2,0,0,X,3,,0,5,6,3,I,0,-4,-15,T,3,D,1,11-JUL-2017 18:12:51.28,KFOLEY,                                                                                                                                                                                                                                                                                                                   
BFAM    OB,1,,4,15,4,R,-47,0,15,X,3,,0,5,6,3,I,0,-4,-15,T,3,D,1,11-JUL-2017 18:13:59.05,KFOLEY,                                                                                                                                                                                                                                                                                                                 
BFAM    PC,1,,61,1,1,R,-47,0,0,X,3,,0,2,9,3,I,0,-1,-15,B,3,E,1,11-JUL-2017 18:14:12.99,KFOLEY,                                                                                                                                                                                                                                                                                                                  
BFAM    SQ,1,,7,15,4,R,-47,0,15,X,3,,0,2,6,3,I,0,-1,-15,T,3,F,1,11-JUL-2017 18:14:33.06,KFOLEY,                                                                                                                                                                                                                                                                                                                 
BFAM    TU,1,,1,15,4,R,-47,0,15,X,3,,0,2,6,3,I,0,-1,-15,T,3,D,1,11-JUL-2017 18:14:48.74,KFOLEY,                                                                                                                                                                                                                                                                                                                 
BFAM    UI,1,,64,0,1,R,-47,0,0,X,3,,0,5,9,3,I,0,-4,-15,B,3,E,1,11-JUL-2017 18:14:59.81,KFOLEY,                                                                                                                                                                                                                                                                                                                  
BFAM    WD,1,,13,15,4,R,-47,0,15,X,3,,0,2,6,3,I,0,-1,-15,T,3,F,1,11-JUL-2017 18:15:11.18,KFOLEY,                                                                                                                                                                                                                                                                                                                
