 APPO        DX      : 1985-1988
 APPO        GD      : 1985-2013
 APPO        HJ      : 1985-2013
 APPO        MM      : 1987-1990
 APPO        MN      : 1987-1990
 APPO        MX      : 1987-1990
 APPO        PC      : 1987-2005
 APPO        PH      : 1985-1988
 APPO        PP      : 1987-2005
 APPO        QD      : 1939-1983, 1985-2016, 8110
 APPO        WJ      : 1985-1988
 APPO        WM      : 1985-1988
 APPO        WN      : 1985-1988
 APPO        WY      : 1985-1988
 APRO        GD      : 1983-2011
 APRO        GD2     : 1983
 APRO        HJ      : 1984-1991, 2005-2011
 APRO        QD      : 1939-1983, 1985-1991, 2005-2018
 APRO        WM      : 1983-1990
 APRO        WN      : 1983-1990
 APRO        WY      : 1985-1990
 APRO        Z1      : 1983-1985, 1987-1990
 APSW        MM      : 1994-2018
 APSW        MN      : 1994-2018
 APSW        MX      : 1994-2018
 APSW        PC      : 1994-2018
 APSW        PP      : 2011
 APSW        SD      : 2003-2018
 APSW        SE      : 1994-2018
 APSW        SS      : 2013-2018
 ARAO        ET      : 1999-2017
 ARAO        ETOS    : 2003-2017
 ARAO        ETRS    : 2003-2017
 ARAO        MM      : 1999-2017
 ARAO        MN      : 1999-2017
 ARAO        MX      : 1999-2017
 ARAO        PC      : 1999-2017
 ARAO        PP      : 1999-2017
 ARAO        PU      : 1999-2017
 ARAO        SR      : 1999-2017
 ARAO        TA      : 1999-2017
 ARAO        TG      : 1999-2017
 ARAO        UA      : 1999-2017
 ARAO        UD      : 1999-2017
 ARAO        WG      : 1999-2017
 ARAO        WR      : 1999-2017
 ARAO        XD      : 1999-2017
 ARAO        XH      : 1999-2017
 ARAO        XJ      : 2002-2017
 ARAO        YA      : 1999-2017
 ARAO        YB      : 1999-2017
 ARAO        YM      : 1999-2017
 ARAO        ZK      : 1999-2017
 ARAO        ZL      : 1999-2017
 ARAO        ZM      : 1999-2017
 ARBO        MM      : 1989-2018
 ARBO        MN      : 1989-2018
 ARBO        MX      : 1997-2018
 ARBO        PC      : 1978-2018
 ARBO        PP      : 2011
 ARBO        SD      : 2003-2018
 ARBO        SE      : 1978-2018, 6190
 ARBO        SS      : 2013-2018
 ARCI        GD      : 1985-1989, 1991-2018
 ARCI        HJ      : 1985-1993, 1995-2001, 2005-2007, 2009-2014, 2016-2018
 ARCI        Q       : 1987
 ARCI        QD      : 1977-1979, 1985-1989, 1992-1993, 1995-2018
 ARDB        FB      : 1983-1997
 ARDB        FBT     : 1989-1992
 ARDB        QD      : 1983-1997
 ARK         AF      : 1918-2018, 6190, 7100, 8110
 ARK         FB      : 1981-2018
 ARK         ID      : 1918-2018
 ARK         MM      : 1985-2018
 ARK         MN      : 1968-1972, 1980-2018
 ARK         MX      : 1960-2018
 ARK         PC      : 1984-2018
 ARK         PE      : 1968-1971, 1995-2007
 ARK         PP      : 1981-2018
 ARK         PU      : 1988-2018
 ARK         PX      : 1960-2010, 2013
 ARK         SD      : 1988-2010, 2013
 ARK         UD      : 2018
 ARK         WR      : 1968-1971
 ARKI        QD      : 1918-2018, 7100
 ARKI        QU      : 1918-2018, 7100
 ARKI        XQU     : 1961-1990
 ARNO        GJ      : 1993-2018
 ARNO        HH      : 1993-2018
 ARNO        MM      : 1999-2018
 ARNO        MN      : 1999-2018
 ARNO        MX      : 1999-2018
 ARNO        QJ      : 1993-2018
 ARNO        WI      : 1999-2018
 ARNO        WK      : 1999-2018
 ARNO        WZ      : 1999-2018
 ARW         QU      : 1969-1982
 ARWO        GD      : 1983-1998
 ARWO        HJ      : 1983-1991
 ARWO        MN      : 1983
 ARWO        MX      : 1983
 ARWO        QD      : 1939-1955, 1979-1983, 1985-1991
 ARWO        WM      : 1983-1990
 ARWO        WN      : 1983-1990
 ARWO        WY      : 1985-1990
 ARWO        Z1      : 1983, 1985-1986, 1988-1990
 ASCI        GJ      : 1986-2018
 ASCI        HH      : 1986-2016
 ASCI        HH1     : 1988-1990
 ASCI        QJ      : 1961, 1966, 1977, 1979, 1986-2018
 ASLO        GJ      : 2001-2018
 ASLO        HH      : 2001-2015
 ASLO        QJ      : 2001-2018
 ASLO        WI      : 2010-2018
 ASLO        WK      : 2010-2018
 ASLO        WZ      : 2010-2018
 ASNW        QD      : 1991-2009
 ATAI        MM      : 1988-2018
 ATAI        MN      : 1988-2018
 ATAI        MX      : 1997-2018
 ATAI        PC      : 1980-2018
 ATAI        PP      : 2011
 ATAI        SD      : 2002-2018
 ATAI        SE      : 1980-2018, 6190
 ATAI        SS      : 2002-2018
 ATLI        MM      : 1985-2018
 ATLI        MN      : 1981-2018
 ATLI        MX      : 1981-2018
 ATLI        PC      : 1984-2018
 ATLI        PP      : 1981-2018
 ATLI        PU      : 1992-2018
 ATLI        SO      : 1995-2012
 ATLI        SP      : 1981-2018
 ATLI        SY      : 1995-2012
 AUCI        GJ      : 1986-2018
 AUCI        HH      : 1986-2016
 AUCI        HH1     : 1988-1989
 AUCI        QJ      : 1977-2018
 AUGW        GD      : 1998-2000
 AUGW        HJ      : 1998-2000
 AUGW        QD      : 1998-2018
 BACW        ZH      : 1995-1997
 BADM        MM      : 1988-2017
 BADM        MN      : 1988-2017
 BADM        MX      : 1997-2017
 BADM        PC      : 1979-2017
 BADM        PP      : 2011
 BADM        SD      : 2002-2017
 BADM        SE      : 1978-2017
 BADM        SS      : 2002-2017
 BAKW        MM      : 1986-1999
 BAKW        MN      : 1986-1999
 BAKW        MX      : 1986-1999
 BAKW        PC      : 1986-1999
 BAKW        PP      : 1986-1999
 BAKW        UA      : 1986-1999
 BAKW        UD      : 1986-1995
 BAKW        UV      : 1986-1995
 BAKW        WR      : 1995-1999
 BALO        MM      : 1985-2018
 BALO        MN      : 1971, 1982-2018
 BALO        MX      : 1971, 1982-2018
 BALO        PC      : 1984-2018
 BALO        PP      : 1982-2018
 BALO        PU      : 1992-2018
 BANM        MM      : 1988-2018
 BANM        MN      : 1988-2018
 BANM        MX      : 1997-2018
 BANM        PC      : 1987-2018
 BANM        PP      : 2011
 BANM        SD      : 2002-2018
 BANM        SE      : 1978-2018
 BANM        SS      : 2002-2018
 BANO        EJ      : 1986-1994
 BANO        ET      : 1986-2017
 BANO        ETOS    : 1995-1996, 1998, 2003-2017
 BANO        ETRS    : 1995-1996, 1998, 2003-2017
 BANO        MM      : 1985-2017
 BANO        MN      : 1985-2017
 BANO        MX      : 1985-2017
 BANO        PC      : 1985-2017
 BANO        PE      : 1995-1999
 BANO        PP      : 1985-2017
 BANO        PU      : 1986-2017
 BANO        RHN     : 1997-2017
 BANO        SR      : 1985-2017
 BANO        TA      : 1985-2017
 BANO        TG      : 1988-2017
 BANO        TU      : 1985-1992
 BANO        UA      : 1985-2017
 BANO        UD      : 1985-2017
 BANO        UV      : 1985-1992
 BANO        WG      : 2000-2017
 BANO        WR      : 1985-2017
 BANO        XB      : 1985-2017
 BANO        XC      : 1985-2017
 BANO        XF      : 1985-2017
 BANO        XG      : 1985-2017
 BANO        YA      : 1985-2017
 BANO        YB      : 1985-2017
 BANO        YC      : 1985-1999
 BANO        YD      : 1985-1999
 BANO        YL      : 1991-2017
 BANO        YM      : 1989-2017
 BANO        YP      : 1985-1989
 BANO        YW      : 1991-2017
 BANO        YY      : 1990-1999
 BANO        Z1      : 1986-2017
 BANO        Z2      : 2008-2017
 BANO        Z3      : 2008-2017
 BARI        GD      : 2001-2007, 2010-2018
 BARI        QD      : 1977-1979
 BASI        MM      : 1988-2018
 BASI        MN      : 1988-2018
 BASI        MX      : 1997-2018
 BASI        PC      : 1980-2018
 BASI        PP      : 2011
 BASI        SD      : 2002-2018
 BASI        SE      : 1980-2018, 6190
 BASI        SS      : 2002-2018
 BASO        GD      : 2001-2018
 BASO        HJ      : 2001-2018
 BASO        QD      : 1990-2018, 8110
 BASO        QD7     : 2011-2018
 BASO        QU      : 2012-2015
 BASO        WI      : 2003-2018
 BASO        WK      : 2003-2018
 BASO        WZ      : 2003-2018
 BATO        ET      : 2005-2017
 BATO        ETOS    : 2005-2017
 BATO        ETRS    : 2005-2017
 BATO        MM      : 2005-2017
 BATO        MN      : 2005-2017
 BATO        MX      : 2005-2017
 BATO        PC      : 2005-2017
 BATO        PP      : 2005-2017
 BATO        PU      : 2005-2017
 BATO        SR      : 2005-2017
 BATO        TA      : 2005-2017
 BATO        TG      : 2003, 2005-2017
 BATO        UA      : 2005-2017
 BATO        UD      : 2005-2017
 BATO        WG      : 2005-2017
 BATO        WR      : 2005-2017
 BATO        XC      : 2005-2013
 BATO        XD      : 2005-2013
 BATO        XG      : 2005-2013
 BATO        XH      : 2005-2013
 BATO        XJ      : 2005-2013
 BATO        YM      : 2005-2017
 BATO        YW      : 2005-2017
 BATO        ZCM     : 2005-2017
 BATO        ZCN     : 2005-2017
 BATO        ZCX     : 2005-2017
 BATO        ZG      : 2005-2017
 BATO        ZH      : 2005-2017
 BATO        ZK      : 2005-2017
 BATO        ZL      : 2005-2017
 BATO        ZM      : 2005-2017
 BBBO        GD      : 2015-2018
 BBBO        HJ      : 2015-2018
 BBBO        QD      : 2015-2018
 BBBO        WI      : 2015-2018
 BBBO        WK      : 2015-2018
 BBBO        WZ      : 2015-2018
 BBCI        QJ      : 1946, 1948-1985
 BBCW        SE      : 1983-1985
 BBSY        MM      : 1986-2018
 BBSY        MN      : 1986-2018
 BBSY        MX      : 1997-2018
 BBSY        PC      : 1980-2018
 BBSY        PP      : 2011
 BBSY        SD      : 2002-2018
 BBSY        SE      : 1980-2018
 BBSY        SS      : 2002-2018
 BBYI        GD      : 1982-1987, 1993-2007, 2010-2018
 BBYI        HJ      : 1983-1987, 1993-2007, 2010-2013, 2017
 BBYI        QD      : 1978-1979, 1982-1988, 1993-2007, 2010-2018
 BBYI        QU      : 2012-2015
 BCAO        GD      : 2004-2018
 BCAO        HJ      : 2005-2018
 BCAO        QD      : 2005-2018
 BCAO        WI      : 2004-2018
 BCAO        WK      : 2004-2018
