Date,0,10000,20000,30000,40000,50000,60000,70000,80000,90000,100000,110000,120000,130000,140000,150000,160000,170000,180000,190000,200000,210000,220000,230000,240000,250000,260000,270000,280000,290000,300000
4/24/2011,0,0,0,0,0,0,0,0,10.00443983,6691.733114,14033.6831,19835.96401,25679.57567,31450.14881,37100.75342,42619.62441,47997.88722,53197.28342,57832.52191,62941.68621,68043.76118,73138.74682,78226.64312,80000,80000,80000,80000,80000,80000,80000,80000
4/25/2011,0,0,0,0,0,0,0,0,1050.816517,7767.629435,15230.17705,21072.58773,26970.26832,32799.38668,38507.78742,44082.71751,49518.55193,54784.51927,59493.06685,64605.10427,69710.05235,74807.9111,79898.68052,80000,80000,80000,80000,80000,80000,80000,80000
4/26/2011,0,0,0,0,0,0,0,0,2062.018522,8813.110509,16395.25206,22277.35366,28229.29497,34117.91899,39885.98292,45519.88382,51017.3842,56355.33766,61151.0321,66265.94263,71373.76383,76474.4957,80000,80000,80000,80000,80000,80000,80000,80000,80000
4/27/2011,0,0,0,0,0,0,0,0,3044.609836,9829.376182,17527.46319,23449.45522,29456.34485,35405.7882,41235.59311,46931.44469,52494.63098,57909.7686,62806.41766,67924.2013,73034.89562,78138.5006,80000,80000,80000,80000,80000,80000,80000,80000,80000
4/28/2011,0,0,0,0,0,0,0,0,3999.603807,10817.62733,18625.78095,24588.44482,30651.40972,36663.28292,42557.06085,48317.85469,53950.61603,59447.86248,64459.22352,69579.88028,74693.44771,79799.92581,80000,80000,80000,80000,80000,80000,80000,80000,80000
4/29/2011,0,0,0,0,0,0,0,0,4928.024878,11779.063,19689.5655,25694.20811,31814.75816,37890.91208,43850.99289,49679.67586,55385.7141,60969.66422,66109.44969,71232.97957,76349.42011,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000
4/30/2011,0,0,0,0,0,0,0,0,5830.905724,12714.87752,20718.54092,26766.93816,32946.90973,39089.37918,45118.13413,51017.55192,56800.3252,62475.18758,67757.09617,72883.49917,78002.81282,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000
5/1/2011,0,0,0,0,0,0,0,0,6709.284382,13626.25768,21712.76939,27807.10977,34048.60925,40259.55652,46359.34181,52332.18251,58194.84881,63964.38932,69402.16296,74531.43907,79653.62584,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000
5/2/2011,0,0,0,0,0,0,0,0,7564.201383,14514.3798,22672.62545,28815.45361,35120.80099,41402.45942,47575.55973,53624.29738,59569.65808,65437.14346,71044.65006,76176.79928,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000
5/3/2011,0,0,0,0,0,0,0,566.333214,8396.696887,15380.40692,23598.7702,29792.93048,36164.60292,42519.22045,48767.79253,54894.63066,60925.07412,66893.2155,72684.55746,77819.5798,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000
5/4/2011,0,0,0,0,0,0,0,1411.741387,9207.807817,16225.48589,24492.12556,30740.70556,37181.2809,43611.06365,49937.07984,56143.89508,62261.34014,68332.23663,74321.88517,79459.78063,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000
5/5/2011,0,0,0,0,0,0,0,2232.969577,9998.564987,17050.74454,25353.84846,31660.1226,38172.22296,44679.27874,51084.47059,57372.75616,63578.59575,69753.67798,75956.63319,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000
5/6/2011,0,0,0,0,0,0,0,3031.02031,10769.99024,17857.2888,26185.30508,32552.67815,39138.91347,45725.1954,52210.99716,58581.80646,64876.85116,71156.82484,77588.80152,79801.36749,79801.36749,79801.36749,79801.36749,79801.36749,79801.36749,79801.36749,79801.36749,79801.36749,79801.36749,79801.36749,79801.36749
5/7/2011,0,0,0,0,0,0,0,3806.897206,11523.09358,18646.1998,26988.04508,33419.9958,40082.90743,46750.15744,53317.64965,59771.53984,66155.96138,72540.75088,79218.39016,79601.02592,79601.02592,79601.02592,79601.02592,79601.02592,79601.02592,79601.02592,79601.02592,79601.02592,79601.02592,79601.02592,79601.02592
5/8/2011,0,0,0,0,0,0,0,4561.602108,12258.8703,19418.53105,27763.77584,34263.80042,41005.80462,47755.49703,54405.35008,60942.3256,67415.6005,73904.29236,79351.39109,79351.39109,79351.39109,79351.39109,79351.39109,79351.39109,79351.39109,79351.39109,79351.39109,79351.39109,79351.39109,79351.39109,79351.39109
