Date,0,100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,1100000,1200000,1300000,1400000,1500000,1600000,1700000,1800000,1900000,2000000,2100000,2200000,2300000,2400000,2500000,2600000,2700000,2800000,2900000,3000000
3/3/2011 0:00,63225.80645,63225.80645,63225.80645,63225.80645,63225.80645,84995.45365,110236.4894,130999.8568,156983.1337,188271.69,228440.6435,263913.8407,305182.5791,344879.0104,391536.7326,442978.8992,493985.7263,546606.3008,603881.1396,663556.0503,711786.2405,711786.2405,711786.2405,711786.2405,711786.2405,711786.2405,711786.2405,711786.2405,711786.2405,711786.2405,711786.2405
3/4/2011 0:00,60967.74194,60967.74194,60967.74194,60967.74194,60967.74194,86200.87082,112399.1582,133586.4654,160070.1465,191947.7048,232921.6165,268961.9127,310715.2398,351131.2063,398088.0281,449695.7764,500706.4718,553155.2544,610043.237,669011.6568,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000
3/5/2011 0:00,58709.67742,58709.67742,58709.67742,58709.67742,58709.67742,87374.72667,114494.8814,136114.9751,163101.1164,195562.9425,237333.598,273933.8396,316163.5239,357284.2924,404516.1265,456271.7581,507272.4038,559536.9198,616024.9479,674271.3584,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000
3/6/2011 0:00,56451.6129,56451.6129,56451.6129,56451.6129,56451.6129,88516.49466,116524.7478,138586.1642,166076.5115,199117.5607,241675.1275,278827.8719,321525.3927,363334.0135,410817.3108,462703.8801,513681.4959,565750.3626,621826.554,679336.7467,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000
3/7/2011 0:00,54193.54839,54193.54839,54193.54839,54193.54839,54193.54839,89625.6671,118489.8257,141000.7905,168996.7791,202611.6962,245944.7919,283642.3072,326798.8547,369276.3138,416988.0927,468989.4249,519931.9743,571794.8953,627448.5661,684209.6127,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000
3/8/2011 0:00,51935.48387,51935.48387,51935.48387,51935.48387,51935.48387,90701.75516,120391.1627,143359.5913,171862.3461,206045.4657,250141.2253,288375.4903,331981.9655,375107.3493,423025.2234,475125.9306,526022.325,577670.0824,632891.7278,688891.9489,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000
3/9/2011 0:00,49677.41935,49677.41935,49677.41935,49677.41935,50080.3765,91744.28886,122229.7862,145663.2834,174673.6191,209418.9651,254263.109,293025.8133,337072.8279,380823.499,428925.7031,481111.1982,531951.299,583375.7443,638157.0169,693385.949,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000
3/10/2011 0:00,47419.35484,47419.35484,47419.35484,47419.35484,50636.08856,92752.8171,124006.7027,147912.5633,177430.9838,212732.27,258309.1713,297591.7155,342069.5919,386421.3743,434686.7885,486943.2974,537717.9168,588911.9588,643245.6458,697694.0062,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000
3/11/2011 0:00,45161.29032,45161.29032,45161.29032,45161.29032,51170.68364,93726.90761,125722.8986,150108.1066,180134.8057,215985.4354,262278.1879,302071.6832,346970.4549,391897.8268,440305.9985,492620.5706,543321.4698,594279.0619,648159.0599,701818.7097,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000
3/12/2011 0:00,42903.22581,42903.22581,42903.22581,42903.22581,51683.74391,94666.14699,127379.3395,152250.5687,182785.4297,219178.4957,266168.9818,306464.2502,351773.6611,397249.954,445781.1185,498141.6354,548761.5214,599477.6464,652898.9345,705762.8402,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000
3/13/2011 0:00,40645.16129,40645.16129,40645.16129,40645.16129,52174.8704,95570.1407,128976.9708,154340.5845,185383.1803,222311.465,269980.4228,310767.9972,356477.5023,402475.1043,451110.2033,503505.385,554037.9057,604508.5589,657467.1698,709529.3625,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000
3/14/2011 0:00,38387.09677,38387.09677,38387.09677,38387.09677,52643.683,96438.51305,130516.717,156378.7682,187928.3612,225384.3368,273711.4282,314981.5522,361080.3172,407570.8796,456291.5775,508710.9878,559150.7249,609372.895,661865.8846,713121.4177,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000
3/15/2011 0:00,36129.03226,36129.03226,36129.03226,36129.03226,53089.82045,97270.90721,131999.4824,158365.7136,190421.2561,228397.0841,277360.9625,319103.5906,365580.4919,412535.1363,461323.8354,513757.8845,564100.3445,614071.9934,666097.4084,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000
3/16/2011 0:00,33870.96774,33870.96774,33870.96774,33870.96774,53512.94036,98066.98522,133426.1508,160301.9941,192862.1277,231349.6594,280928.0373,323132.8346,369976.4595,417365.9851,466205.8382,518645.784,568887.3877,618607.4278,670164.2712,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000
3/17/2011 0:00,31612.90323,31612.90323,31612.90323,31612.90323,53912.71918,98826.42794,134797.5853,162188.1626,195251.2185,234241.9947,284411.7115,327068.054,374266.7006,422061.7886,470936.7104,523374.6576,573512.7277,622980.9975,674069.1925,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000
3/18/2011 0:00,29354.83871,29354.83871,29354.83871,29354.83871,54288.85223,99548.93513,136114.6288,164024.7512,197588.7503,237074.0015,287811.0909,330908.0655,378449.7426,426621.1578,475515.8338,527944.7316,577977.478,627194.716,677815.068,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000
3/19/2011 0:00,27096.77419,27096.77419,27096.77419,27096.77419,54641.05367,100234.2254,137378.1033,165812.2719,199874.9247,239845.5709,291125.3289,334651.7331,382524.1604,431042.9462,479942.8406,532356.478,582282.9816,631250.7983,681404.9552,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000
3/20/2011 0:00,24838.70968,24838.70968,24838.70968,24838.70968,54969.05655,100882.0361,138588.8107,167551.2159,202109.9225,242556.5733,294353.6259,338297.9681,386488.576,435326.2434,484217.604,536610.6038,586430.7987,635151.6465,684842.0567,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000
3/21/2011 0:00,22580.64516,22580.64516,22580.64516,22580.64516,55272.61275,101492.1238,139747.5321,169242.054,204293.9041,245206.8588,297495.2294,341845.7288,390341.6586,439470.3659,488340.2281,540708.0385,590422.6918,638899.8333,688129.7025,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000
3/22/2011 0:00,20322.58065,20322.58065,20322.58065,22334.25059,55551.49301,102064.2634,140855.0282,170885.2366,206427.0094,247796.2568,300549.4343,345294.0209,394082.1246,443474.8466,492311.0355,544649.9202,594260.6103,642498.085,691271.3303,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000
3/23/2011 0:00,18064.51613,18064.51613,18064.51613,22321.25843,55805.48693,102598.249,141912.0393,172481.1935,208509.3579,250324.5763,303515.5826,348641.8971,397708.7375,447339.4235,496130.5532,548437.5798,597946.6727,645949.261,694270.4642,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000,715000
