id,seriesid,name,value
919,403,t1,1/1/2010
920,403,t2,5/8/2017
921,403,count,2685
922,404,t1,1/1/2010
923,404,t2,5/8/2017
924,404,count,2685
925,405,t1,1/1/2010
926,405,t2,5/8/2017
927,405,count,2685
928,406,t1,1/1/2010
929,406,t2,5/8/2017
930,406,count,2685
931,407,t1,1/1/2010
932,407,t2,5/8/2017
933,407,count,2685
934,408,t1,1/1/2010
935,408,t2,5/8/2017
936,408,count,2685
937,409,t1,1/1/2010
938,409,t2,5/8/2017
939,409,count,2685
940,410,t1,1/1/2010
941,410,t2,5/8/2017
942,410,count,2685
943,411,t1,1/1/2010
944,411,t2,5/8/2017
945,411,count,2685
946,412,t1,1/1/2010
947,412,t2,5/8/2017
948,412,count,2685
949,413,t1,1/1/2010
950,413,t2,5/8/2017
951,413,count,2685
952,414,t1,1/1/2010
953,414,t2,5/8/2017
954,414,count,2685
955,415,t1,1/1/2010
956,415,t2,5/8/2017
957,415,count,2685
958,416,t1,1/1/2010
959,416,t2,5/8/2017
960,416,count,2685
961,417,t1,1/1/2010
962,417,t2,5/8/2017
963,417,count,2685
964,418,t1,1/1/2010
965,418,t2,5/8/2017
966,418,count,2685
967,419,t1,1/1/2010
968,419,t2,5/8/2017
969,419,count,2685
970,420,t1,1/1/2010
971,420,t2,5/8/2017
972,420,count,2685
976,422,t1,1/1/2010
977,422,t2,5/8/2017
978,422,count,2685
979,423,t1,1/1/2010
980,423,t2,5/8/2017
981,423,count,2685
982,424,t1,1/1/2010
983,424,t2,5/8/2017
984,424,count,2685
985,425,t1,1/1/2010
986,425,t2,5/8/2017
987,425,count,2685
988,426,t1,1/1/2010
989,426,t2,5/8/2017
990,426,count,2685
994,428,t1,1/1/2010
995,428,t2,5/8/2017
996,428,count,2685
997,429,t1,1/1/2010
998,429,t2,5/8/2017
999,429,count,2685
1000,430,t1,1/1/2010
1001,430,t2,5/8/2017
1002,430,count,2685
1009,433,t1,1/1/2010
1010,433,t2,5/8/2017
1011,433,count,2685
1012,434,t1,1/1/2010
1013,434,t2,5/8/2017
1014,434,count,2685
1015,435,t1,1/1/2010
1016,435,t2,5/8/2017
1017,435,count,2685
1018,436,t1,1/1/2010
1019,436,t2,5/8/2017
1020,436,count,2685
1021,437,t1,1/1/2010
1022,437,t2,5/8/2017
1023,437,count,2685
1024,438,t1,1/1/2010
1025,438,t2,5/8/2017
1026,438,count,2685
1027,439,t1,1/1/2010
1028,439,t2,5/8/2017
1029,439,count,2685
1030,440,t1,1/1/2010
1031,440,t2,5/8/2017
1032,440,count,2685
1033,441,t1,1/1/2010
1034,441,t2,5/8/2017
1035,441,count,2685
1036,442,t1,1/1/2010
1037,442,t2,5/8/2017
1038,442,count,2685
1039,443,t1,1/1/2010
1040,443,t2,5/8/2017
1041,443,count,2685
1042,444,t1,1/1/2010
1043,444,t2,5/8/2017
1044,444,count,2685
1045,445,t1,1/1/2010
1046,445,t2,5/8/2017
1047,445,count,2685
1048,446,t1,1/1/2010
1049,446,t2,5/8/2017
1050,446,count,2685
1051,447,t1,1/1/2010
1052,447,t2,5/8/2017
1053,447,count,2685
1054,448,t1,1/1/2010
1055,448,t2,5/8/2017
1056,448,count,2685
1057,449,t1,1/1/2010
1058,449,t2,5/8/2017
1059,449,count,2685
1060,450,t1,1/1/2010
1061,450,t2,5/8/2017
1062,450,count,2685
1066,452,t1,1/1/2010
1067,452,t2,5/8/2017
1068,452,count,2685
1069,453,t1,1/1/2010
1070,453,t2,5/8/2017
1071,453,count,2685
1072,454,t1,1/1/2010
1073,454,t2,5/8/2017
1074,454,count,2685
1075,455,t1,1/1/2010
1076,455,t2,5/8/2017
1077,455,count,2685
1078,456,t1,1/1/2010
1079,456,t2,5/8/2017
1080,456,count,2685
1081,457,t1,1/1/2010
1082,457,t2,5/8/2017
1083,457,count,2685
1084,458,t1,1/1/2010
1085,458,t2,5/8/2017
1086,458,count,2685
1087,459,t1,1/1/2010
1088,459,t2,5/8/2017
1089,459,count,2685
1090,460,t1,1/1/2010
