A_ID,parentid,isfolder,sortorder,iconname,name,siteid,units,timeinterval,parameter,tablename,provider,connectionstring,expression,notes,enabled
1797,1777,0,1165,sum,fafi_yw,fafi,,Daily,yw,daily_fafi_yw,CalculationSeries,,"DailyAverage(instant_%site%_sw,92)",,1
1801,1777,0,1169,sum,fafi_zl,fafi,,Daily,zl,daily_fafi_zl,CalculationSeries,,DailyMin(instant_%site%_za),,1
8806,8801,0,8806,sum,jcco_hj,jcco,feet,Irregular,hj,instant_jcco_hj,CalculationSeries,,"FileRatingTable(%site%_gh,""%site%_shift.csv"")",,1
9096,9095,1,0,,instant,,,,,,,,,,0
1785,1777,0,1153,sum,fafi_pp,fafi,,Daily,pp,daily_fafi_pp,CalculationSeries,,daily_%site%_pc-daily_%site%_pc[t-1],,1
8807,8801,0,8807,,jcco_wf,jcco,degF,Irregular,wf,instant_jcco_wf,Series,,,,1
244,242,1,0,,daily,,,,,,,,,,0
8898,8892,0,8898,,sawo_wf,sawo,degF,Irregular,wf,instant_sawo_wf,Series,,,,1
9097,9096,0,1,,fsho_gh,fsho,feet,Irregular,gh,instant_fsho_gh,Series,,,,1
1790,1777,0,1158,sum,fafi_ua,fafi,,Daily,ua,daily_fafi_ua,CalculationSeries,,"DailyAverage(instant_%site%_ws,92)",,1
201,168,0,8,,ahti_tp,ahti,,Irregular,tp,instant_ahti_tp,Series,,,,1
11004,9178,1,0,,quality,,,,,,,,,,0
1789,1777,0,1157,sum,fafi_tg,fafi,,Daily,tg,daily_fafi_tg,CalculationSeries,,"DailyGrowingDegree(instant_%site%_obx,instant_%site%_obn,86.0,50.0)",,1
11026,11020,0,11026,,capo_wf,capo,degF,Irregular,wf,instant_capo_wf,Series,,,,1
19765,14861,0,232,sum,amf_fb,amf,,Daily,fb,daily_amf_fb,CalculationSeries,,DailyMidnight(instant_amf_fb),,1
19085,14985,1,2,,quality,,,,,folder2017aug29160141630,Series,,,,1
14366,14363,1,3,,quality,,,,,folder2017apr03120313556,Series,,,,1
11249,11246,0,11249,,rdwi_ch,rdwi,feet,Irregular,ch,instant_rdwi_ch,Series,,,,1
8923,8922,1,1,,monthly,,,,,folder2015feb11162643062,Series,,,,1
9011,9008,1,0,,quality,,,,,,,,,,0
9012,9009,0,9012,,bjbo_gh,bjbo,feet,Irregular,gh,instant_bjbo_gh,Series,,,,1
15785,15779,0,1,,brbi_mn,brbi,,Daily,mn,daily_brbi_mn,Series,,,,1
9013,9009,0,9013,sum,bjbo_q,bjbo,cfs,Irregular,q,instant_bjbo_q,CalculationSeries,,"FileRatingTable(%site%_gh,""%site%.csv"")",,1
9098,9096,0,1,sum,fsho_q,fsho,cfs,Irregular,q,instant_fsho_q,CalculationSeries,,"FileRatingTable(%site%_gh,""%site%.csv"")",,1
10112,10110,1,0,,daily,,,,,,,,,,0
15786,15779,0,1,,brbi_ss,brbi,,Daily,ss,daily_brbi_ss,Series,,,,1
14976,14975,1,0,,daily,,,,,,,,,,0
15787,15337,1,1,,daily,,,,,folder2017may30130115434,Series,,,,1
7140,629,0,133,,boii_wds,boii,,Irregular,wds,instant_boii_wds,Series,,,,1
8514,8441,1,1,,instant,,,,,folder2014dec19131531102,,,,,1
1792,1777,0,1160,sum,fafi_wg,fafi,,Daily,wg,daily_fafi_wg,CalculationSeries,,DailyMax(instant_%site%_wg),,1
1788,1777,0,1156,sum,fafi_ta,fafi,,Daily,ta,daily_fafi_ta,CalculationSeries,,"DailyAverage(instant_%site%_tu,92)",,1
8932,8931,1,1,,monthly,,,,,folder2015feb11162643953,Series,,,,1
1802,1777,0,1170,sum,fafi_zm,fafi,,Daily,zm,daily_fafi_zm,CalculationSeries,,"DailyAverage(instant_%site%_za,92)",,1
1796,1777,0,1163,sum,fafi_xg,fafi,,Daily,xg,daily_fafi_xg,CalculationSeries,,DailyMax(instant_%site%_sw),,1
1793,1777,0,1161,sum,fafi_wr,fafi,,Daily,wr,daily_fafi_wr,CalculationSeries,,"DailySum(instant_%site%_ws,92)/4.0",,1
